year,month,day,hour,minute,source,dry_bulb,dew_point,humidity,pressure,ehr,ednr,hiri,ghr,dnr,dhr,ghi,dni,dhi,zenith,direction,speed,total_cover,opaque_cover,visibility,height,observation,codes,water,optical_depth,snow_depth,last_snowfall,albedo,precipitation_depth,precipitation_quantity
2010,01,01,1,00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9*9*9*9,24.0,19.4,73.7,100570.0,0,0,9999,0,541,199,0,0,0,0,240,7.2,11.7,11.7,9999,77777,9,909999999,999,0.999,0,99,0.08,0.12,1
2010,01,01,2,00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9*9*9*9,24.0,19.5,75.3,100590.0,0,0,9999,0,510,153,0,0,0,0,230,6.7,11.1,11.1,9999,77777,9,999999999,999,0.999,0,99,0.08,0.0,1
2010,01,01,3,00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9*9*9*9,24.0,19.7,77.4,100610.0,0,0,9999,0,235,120,0,0,0,0,220,6.7,24.6,24.6,9999,77777,9,999999999,999,0.999,0,99,0.08,0.0,1
2010,01,01,4,00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9*9*9*9,24.0,19.7,78.5,100620.0,0,0,9999,0,44,30,0,0,0,0,240,6.7,26.0,26.0,9999,77777,9,909999999,999,0.999,0,99,0.08,0.0,1
2010,01,01,5,00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9*9*9*9,23.0,19.6,79.2,100680.0,0,0,9999,0,0,0,0,0,0,0,250,4.6,0.0,0.0,9999,77777,9,999999999,999,0.999,0,99,0.08,0.0,1
2010,01,01,6,00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9*9*9*9,23.0,19.6,79.5,100780.0,0,0,9999,0,0,0,0,0,0,0,240,4.6,0.0,0.0,9999,77777,9,999999999,999,0.999,0,99,0.08,0.0,1
2010,01,01,7,00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9*9*9*9,23.0,19.5,79.2,100860.0,0,0,9999,0,0,0,0,0,0,0,230,6.2,0.0,0.0,9999,77777,9,999999999,999,0.999,0,99,0.08,0.0,1
2010,01,01,8,00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9*9*9*9,23.0,19.4,79.7,100850.0,0,0,9999,0,0,0,0,0,0,0,330,5.1,0.0,0.0,9999,77777,9,999999999,999,0.999,0,99,0.08,0.0,1
2010,01,01,9,00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9*9*9*9,23.0,19.4,80.7,100830.0,0,0,9999,0,0,0,0,0,0,0,360,2.1,0.0,0.0,9999,77777,9,999999919,999,0.999,0,99,0.08,0.0,1
2010,01,01,10,00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9*9*9*9,23.0,19.6,82.4,100830.0,0,0,9999,0,0,0,0,0,0,0,340,3.1,0.0,0.0,9999,77777,9,909999999,999,0.999,0,99,0.08,0.3,1
2010,01,01,11,00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9*9*9*9,23.0,19.8,84.2,100810.0,0,0,9999,0,0,0,0,0,0,0,350,6.2,0.0,0.0,9999,77777,9,999999999,999,0.999,0,99,0.08,0.0,1
2010,01,01,12,00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9*9*9*9,22.0,19.8,85.0,100790.0,0,0,9999,0,0,0,0,0,0,0,330,4.6,0.0,0.0,9999,77777,9,999999999,999,0.999,0,99,0.08,0.0,1
2010,01,01,13,00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9*9*9*9,22.0,19.7,85.2,100750.0,0,0,9999,0,0,0,0,0,0,0,330,3.1,0.0,0.0,9999,77777,9,999999999,999,0.999,0,99,0.08,0.0,1
2010,01,01,14,00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9*9*9*9,22.0,19.6,85.5,100690.0,0,0,9999,0,0,0,0,0,0,0,340,3.1,0.0,0.0,9999,77777,9,999999999,999,0.999,0,99,0.08,0.0,1
2010,01,01,15,00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9*9*9*9,22.0,19.5,85.5,100660.0,0,0,9999,0,0,0,0,0,0,0,320,2.1,0.0,0.0,9999,77777,9,999999999,999,0.999,0,99,0.08,0.0,1
2010,01,01,16,00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9*9*9*9,22.0,19.4,84.9,100690.0,0,0,9999,0,0,0,0,0,0,0,210,1.0,0.0,0.0,9999,77777,9,999999999,999,0.999,0,99,0.08,0.0,1
2010,01,01,17,00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9*9*9*9,22.0,19.2,84.2,100740.0,0,0,9999,0,0,0,0,0,0,0,340,1.5,0.0,0.0,9999,77777,9,999999999,999,0.999,0,99,0.08,0.0,1
2010,01,01,18,00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9*9*9*9,22.0,18.7,81.8,100800.0,0,0,9999,0,135,24,0,0,0,0,360,3.1,4.1,4.1,9999,77777,9,999999999,999,0.999,0,99,0.08,0.0,1
2010,01,01,19,00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9*9*9*9,22.0,17.9,77.6,100860.0,0,0,9999,0,516,73,0,0,0,0,10,4.1,5.5,5.5,9999,77777,9,999999999,999,0.999,0,99,0.08,0.0,1
2010,01,01,20,00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9*9*9*9,22.0,17.4,73.8,100880.0,0,0,9999,0,790,74,0,0,0,0,10,3.1,0.0,0.0,9999,77777,9,999999999,999,0.999,0,99,0.08,0.0,1
2010,01,01,21,00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9*9*9*9,23.0,17.2,70.5,100860.0,0,0,9999,0,864,86,0,0,0,0,360,3.1,0.0,0.0,9999,77777,9,999999999,999,0.999,0,99,0.08,0.0,1
2010,01,01,22,00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9*9*9*9,23.0,16.7,67.1,100800.0,0,0,9999,0,830,125,0,0,0,0,30,3.6,1.3,1.3,9999,77777,9,999999999,999,0.999,0,99,0.08,0.0,1
2010,01,01,23,00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9*9*9*9,23.0,16.2,64.4,100730.0,0,0,9999,0,687,197,0,0,0,0,170,4.6,7.1,7.1,9999,77777,9,999999999,999,0.999,0,99,0.08,0.0,1
2010,01,1,24,00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9*9*9*9,23.0,15.9,62.8,100640.0,0,0,9999,0,763,157,0,0,0,0,220,3.6,4.1,4.1,9999,77777,9,999999999,999,0.999,0,99,0.08,0.0,1
2010,01,02,1,00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9*9*9*9,24.0,15.8,62.4,100570.0,0,0,9999,0,758,131,0,0,0,0,220,3.6,4.0,4.0,9999,77777,9,999999999,999,0.999,0,99,0.08,0.0,1
2010,01,02,2,00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9*9*9*9,24.0,16.0,62.8,100570.0,0,0,9999,0,550,154,0,0,0,0,230,3.1,9.9,9.9,9999,77777,9,999999999,999,0.999,0,99,0.08,0.0,1
2010,01,02,3,00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9*9*9*9,23.0,16.0,64.1,100590.0,0,0,9999,0,339,118,0,0,0,0,360,3.1,15.2,15.2,9999,77777,9,999999999,999,0.999,0,99,0.08,0.0,1
2010,01,02,4,00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9*9*9*9,23.0,16.0,66.1,100620.0,0,0,9999,0,60,45,0,0,0,0,200,2.1,14.1,14.1,9999,77777,9,999999999,999,0.999,0,99,0.08,0.0,1
2010,01,02,5,00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9*9*9*9,22.0,16.0,67.9,100660.0,0,0,9999,0,0,0,0,0,0,0,310,4.1,0.0,0.0,9999,77777,9,999999999,999,0.999,0,99,0.08,0.0,1
2010,01,02,6,00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9*9*9*9,22.0,15.9,69.6,100690.0,0,0,9999,0,0,0,0,0,0,0,50,2.6,0.0,0.0,9999,77777,9,999999999,999,0.999,0,99,0.08,0.0,1
2010,01,02,7,00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9*9*9*9,21.0,15.9,71.5,100720.0,0,0,9999,0,0,0,0,0,0,0,10,2.1,0.0,0.0,9999,77777,9,999999999,999,0.999,0,99,0.08,0.0,1
