dt,dt_iso,timezone,city_name,lat,lon,temp,visibility,dew_point,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
1167613200,2007-01-01 01:00:00 +0000 UTC,-36000,Honolulu,21.309884,-157.85814,300.22,10000,288.91,300.63,299.71,300.25,1015,,,50,4.6,80,,,,,,40,802,Clouds,scattered clouds,03d
1167616800,2007-01-01 02:00:00 +0000 UTC,-36000,Honolulu,21.309884,-157.85814,299.78,10000,289.71,299.78,298.71,300.3,1015,,,54,5.1,60,,,,,,40,802,Clouds,scattered clouds,03d
1167620400,2007-01-01 03:00:00 +0000 UTC,-36000,Honolulu,21.309884,-157.85814,299.02,10000,291.44,299.31,298.08,299.8,1016,,,63,7.7,50,,,,,,40,802,Clouds,scattered clouds,03d
1167624000,2007-01-01 04:00:00 +0000 UTC,-36000,Honolulu,21.309884,-157.85814,297.93,10000,291.15,298.19,296.71,298.05,1017,,,66,5.7,60,,,,,,20,801,Clouds,few clouds,02d
1167627600,2007-01-01 05:00:00 +0000 UTC,-36000,Honolulu,21.309884,-157.85814,297.3,10000,290.79,297.52,295.9,297.45,1017,,,67,5.1,60,,,,,,20,801,Clouds,few clouds,02n
1167631200,2007-01-01 06:00:00 +0000 UTC,-36000,Honolulu,21.309884,-157.85814,296.84,10000,291.27,297.12,294.71,296.98,1017,,,71,4.1,70,,,,,,40,802,Clouds,scattered clouds,03n
1167634800,2007-01-01 07:00:00 +0000 UTC,-36000,Honolulu,21.309884,-157.85814,296.19,10000,290.65,296.4,293.7,296.35,1018,,,71,3.1,80,,,,,,40,802,Clouds,scattered clouds,03n
1167638400,2007-01-01 08:00:00 +0000 UTC,-36000,Honolulu,21.309884,-157.85814,296.22,10000,290,296.36,292.71,296.35,1018,,,68,3.1,50,,,,,,40,802,Clouds,scattered clouds,03n
1167642000,2007-01-01 09:00:00 +0000 UTC,-36000,Honolulu,21.309884,-157.85814,296.25,10000,290.48,296.44,292.5,296.98,1018,,,70,4.6,50,,,,,,20,801,Clouds,few clouds,02n
1167645600,2007-01-01 10:00:00 +0000 UTC,-36000,Honolulu,21.309884,-157.85814,295.88,10000,290.35,296.06,293.1,296.98,1018,,,71,2.6,50,,,,,,20,801,Clouds,few clouds,02n
1167649200,2007-01-01 11:00:00 +0000 UTC,-36000,Honolulu,21.309884,-157.85814,295.83,6437,290.31,296.01,292.1,296.98,1017,,,71,3.1,90,,,,,,20,711,Smoke,smoke,50n
1167652800,2007-01-01 12:00:00 +0000 UTC,-36000,Honolulu,21.309884,-157.85814,296.16,10000,290.4,296.34,292.5,296.38,1017,,,70,4.6,60,,,,,,40,802,Clouds,scattered clouds,03n
